Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
JC_ironDoorDoubleGreen_NoBarricade,blocks,block,,,Green Iron Door Double (No Barricade),,Grüne Eisendoppeltür (Ohne Barrikade),Puerta de hierro doble Verde (Sin Barricada),Double porte en fer Verthe (Sans Barrière),Porta di ferro doppia Verde (Senza Barriera),鉄製ドア（緑・ダブル） (バリケードなし),초록색 철제 문 더블 (방어막 없음),"Żelazne drzwi – Zielony, podwójne (Bez Wzmocnienia)",Porta de ferro dupla branca (Sem Barreira),Зелёный двойная железная дверь (Без Баррикады),Çift Kanatlı Yeşil Demir Kapı (Barikat Yok),绿色双开铁门 (无障碍),綠色雙鐵門 (無障礙)
JC_ironDoorDoubleGrey_NoBarricade,blocks,block,,,Gray Iron Door Double (No Barricade),,Graue Eisendoppeltür (Ohne Barrikade),Puerta de hierro doble Gris (Sin Barricada),Double porte en fer Grishe (Sans Barrière),Porta di ferro doppia Grigio (Senza Barriera),鉄製ドア（灰色・ダブル） (バリケードなし),회색 철제 문 더블 (방어막 없음),"Żelazne drzwi – Szary, podwójne (Bez Wzmocnienia)",Porta de ferro dupla branca (Sem Barreira),Серый двойная железная дверь (Без Баррикады),Çift Kanatlı Gri Demir Kapı (Barikat Yok),灰色双开铁门 (无障碍),灰色雙鐵門 (無障礙)
JC_ironDoorDoubleOrange_NoBarricade,blocks,block,,,Orange Iron Door Double (No Barricade),,Orangee Eisendoppeltür (Ohne Barrikade),Puerta de hierro doble Naranja (Sin Barricada),Double porte en fer Orangehe (Sans Barrière),Porta di ferro doppia Arancione (Senza Barriera),鉄製ドア（オレンジ・ダブル） (バリケードなし),오렌지색 철제 문 더블 (방어막 없음),"Żelazne drzwi – Pomarańczowy, podwójne (Bez Wzmocnienia)",Porta de ferro dupla branca (Sem Barreira),Оранжевый двойная железная дверь (Без Баррикады),Çift Kanatlı Turuncu Demir Kapı (Barikat Yok),橙色双开铁门 (无障碍),橙色雙鐵門 (無障礙)
JC_ironDoorDoublePink_NoBarricade,blocks,block,,,Pink Iron Door Double (No Barricade),,Rosae Eisendoppeltür (Ohne Barrikade),Puerta de hierro doble Rosa (Sin Barricada),Double porte en fer Rosehe (Sans Barrière),Porta di ferro doppia Rosa (Senza Barriera),鉄製ドア（ピンク・ダブル） (バリケードなし),분홍색 철제 문 더블 (방어막 없음),"Żelazne drzwi – Różowy, podwójne (Bez Wzmocnienia)",Porta de ferro dupla branca (Sem Barreira),Розовый двойная железная дверь (Без Баррикады),Çift Kanatlı Pembe Demir Kapı (Barikat Yok),粉色双开铁门 (无障碍),粉紅色雙鐵門 (無障礙)
JC_ironDoorDoublePurple_NoBarricade,blocks,block,,,Purple Iron Door Double (No Barricade),,Lilae Eisendoppeltür (Ohne Barrikade),Puerta de hierro doble Púrpura (Sin Barricada),Double porte en fer Violethe (Sans Barrière),Porta di ferro doppia Viola (Senza Barriera),鉄製ドア（紫・ダブル） (バリケードなし),보라색 철제 문 더블 (방어막 없음),"Żelazne drzwi – Fioletowy, podwójne (Bez Wzmocnienia)",Porta de ferro dupla branca (Sem Barreira),Фиолетовый двойная железная дверь (Без Баррикады),Çift Kanatlı Mor Demir Kapı (Barikat Yok),紫色双开铁门 (无障碍),紫色雙鐵門 (無障礙)
JC_ironDoorDoubleRed_NoBarricade,blocks,block,,,Red Iron Door Double (No Barricade),,Rote Eisendoppeltür (Ohne Barrikade),Puerta de hierro doble Rojo (Sin Barricada),Double porte en fer Rougehe (Sans Barrière),Porta di ferro doppia Rosso (Senza Barriera),鉄製ドア（赤・ダブル） (バリケードなし),빨간색 철제 문 더블 (방어막 없음),"Żelazne drzwi – Czerwony, podwójne (Bez Wzmocnienia)",Porta de ferro dupla branca (Sem Barreira),Красный двойная железная дверь (Без Баррикады),Çift Kanatlı Kırmızı Demir Kapı (Barikat Yok),红色双开铁门 (无障碍),紅色雙鐵門 (無障礙)
JC_ironDoorDoubleWhite_NoBarricade,blocks,block,,,White Iron Door Double (No Barricade),,Weiße Eisendoppeltür (Ohne Barrikade),Puerta de hierro doble Blanco (Sin Barricada),Double porte en fer Blanche (Sans Barrière),Porta di ferro doppia Bianco (Senza Barriera),鉄製ドア（白・ダブル） (バリケードなし),흰색 철제 문 더블 (방어막 없음),"Żelazne drzwi – Biały, podwójne (Bez Wzmocnienia)",Porta de ferro dupla branca (Sem Barreira),Белый двойная железная дверь (Без Баррикады),Çift Kanatlı Beyaz Demir Kapı (Barikat Yok),白色双开铁门 (无障碍),白色雙鐵門 (無障礙)
JC_ironDoorDoubleYellow_NoBarricade,blocks,block,,,Yellow Iron Door Double (No Barricade),,Gelbe Eisendoppeltür (Ohne Barrikade),Puerta de hierro doble Amarillo (Sin Barricada),Double porte en fer Jaunehe (Sans Barrière),Porta di ferro doppia Giallo (Senza Barriera),鉄製ドア（黄色・ダブル） (バリケードなし),노란색 철제 문 더블 (방어막 없음),"Żelazne drzwi – Żółty, podwójne (Bez Wzmocnienia)",Porta de ferro dupla branca (Sem Barreira),Жёлтый двойная железная дверь (Без Баррикады),Çift Kanatlı Sarı Demir Kapı (Barikat Yok),黄色双开铁门 (无障碍),黃色雙鐵門 (無障礙)
JC_ironDoorGreen_NoBarricade,blocks,block,,,Green Iron Door (No Barricade),,Grüne Eisentür (Ohne Barrikade),Puerta de hierro Verde (Sin Barricada),Porte en fer Verthe (Sans Barrière),Porta di ferro Verde (Senza Barriera),鉄製ドア（緑） (バリケードなし),초록색 철제 문 (방어막 없음),Żelazne drzwi – Zielony (Bez Wzmocnienia),Porta de ferro branca (Sem Barreira),Зелёный железная дверь (Без Баррикады),Yeşil Demir Kapı (Barikat Yok),绿色铁门 (无障碍),綠色鐵門 (無障礙)
JC_ironDoorGrey_NoBarricade,blocks,block,,,Gray Iron Door (No Barricade),,Graue Eisentür (Ohne Barrikade),Puerta de hierro Gris (Sin Barricada),Porte en fer Grishe (Sans Barrière),Porta di ferro Grigio (Senza Barriera),鉄製ドア（灰色） (バリケードなし),회색 철제 문 (방어막 없음),Żelazne drzwi – Szary (Bez Wzmocnienia),Porta de ferro branca (Sem Barreira),Серый железная дверь (Без Баррикады),Gri Demir Kapı (Barikat Yok),灰色铁门 (无障碍),灰色鐵門 (無障礙)
JC_ironDoorOrange_NoBarricade,blocks,block,,,Orange Iron Door (No Barricade),,Orangee Eisentür (Ohne Barrikade),Puerta de hierro Naranja (Sin Barricada),Porte en fer Orangehe (Sans Barrière),Porta di ferro Arancione (Senza Barriera),鉄製ドア（オレンジ） (バリケードなし),오렌지색 철제 문 (방어막 없음),Żelazne drzwi – Pomarańczowy (Bez Wzmocnienia),Porta de ferro branca (Sem Barreira),Оранжевый железная дверь (Без Баррикады),Turuncu Demir Kapı (Barikat Yok),橙色铁门 (无障碍),橙色鐵門 (無障礙)
JC_ironDoorPink_NoBarricade,blocks,block,,,Pink Iron Door (No Barricade),,Rosae Eisentür (Ohne Barrikade),Puerta de hierro Rosa (Sin Barricada),Porte en fer Rosehe (Sans Barrière),Porta di ferro Rosa (Senza Barriera),鉄製ドア（ピンク） (バリケードなし),분홍색 철제 문 (방어막 없음),Żelazne drzwi – Różowy (Bez Wzmocnienia),Porta de ferro branca (Sem Barreira),Розовый железная дверь (Без Баррикады),Pembe Demir Kapı (Barikat Yok),粉色铁门 (无障碍),粉紅色鐵門 (無障礙)
JC_ironDoorPurple_NoBarricade,blocks,block,,,Purple Iron Door (No Barricade),,Lilae Eisentür (Ohne Barrikade),Puerta de hierro Púrpura (Sin Barricada),Porte en fer Violethe (Sans Barrière),Porta di ferro Viola (Senza Barriera),鉄製ドア（紫） (バリケードなし),보라색 철제 문 (방어막 없음),Żelazne drzwi – Fioletowy (Bez Wzmocnienia),Porta de ferro branca (Sem Barreira),Фиолетовый железная дверь (Без Баррикады),Mor Demir Kapı (Barikat Yok),紫色铁门 (无障碍),紫色鐵門 (無障礙)
JC_ironDoorRed_NoBarricade,blocks,block,,,Red Iron Door (No Barricade),,Rote Eisentür (Ohne Barrikade),Puerta de hierro Rojo (Sin Barricada),Porte en fer Rougehe (Sans Barrière),Porta di ferro Rosso (Senza Barriera),鉄製ドア（赤） (バリケードなし),빨간색 철제 문 (방어막 없음),Żelazne drzwi – Czerwony (Bez Wzmocnienia),Porta de ferro branca (Sem Barreira),Красный железная дверь (Без Баррикады),Kırmızı Demir Kapı (Barikat Yok),红色铁门 (无障碍),紅色鐵門 (無障礙)
JC_ironDoorWhite_NoBarricade,blocks,block,,,White Iron Door (No Barricade),,Weiße Eisentür (Ohne Barrikade),Puerta de hierro Blanco (Sin Barricada),Porte en fer Blanche (Sans Barrière),Porta di ferro Bianco (Senza Barriera),鉄製ドア（白） (バリケードなし),흰색 철제 문 (방어막 없음),Żelazne drzwi – Biały (Bez Wzmocnienia),Porta de ferro branca (Sem Barreira),Белый железная дверь (Без Баррикады),Beyaz Demir Kapı (Barikat Yok),白色铁门 (无障碍),白色鐵門 (無障礙)
JC_ironDoorYellow_NoBarricade,blocks,block,,,Yellow Iron Door (No Barricade),,Gelbe Eisentür (Ohne Barrikade),Puerta de hierro Amarillo (Sin Barricada),Porte en fer Jaunehe (Sans Barrière),Porta di ferro Giallo (Senza Barriera),鉄製ドア（黄色） (バリケードなし),노란색 철제 문 (방어막 없음),Żelazne drzwi – Żółty (Bez Wzmocnienia),Porta de ferro branca (Sem Barreira),Жёлтый железная дверь (Без Баррикады),Sarı Demir Kapı (Barikat Yok),黄色铁门 (无障碍),黃色鐵門 (無障礙)
JC_ironDoor_NoBarricadeBlockVariantHelper,blocks,block,,,Iron Door (No Barricade),,Weiße Eisentür (Ohne Barrikade),Puerta de hierro blanca (Sin Barricada),Porte en fer blanche (Sans Barrière),Porta di ferro bianca (Senza Barriera),鉄製ドア（白） (バリケードなし),흰색 철제 문 (방어막 없음),Żelazne drzwi – białe (Bez Wzmocnienia),Porta de ferro branca (Sem Barreira),Белая железная дверь (Без Баррикады),Beyaz Demir Kapı (Barikat Yok),白色铁门 (无障碍),白色鐵門 (無障礙)
JC_ironGarageDoorArmyGreen_NoBarricade,blocks,block,,,Green Iron Garage Door 3x2 (No Barricade),,Grünes Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Verde 3x2 (Sin Barricada),Porte de garage en fer Verthe 3x2 (Sans Barrière),Saracinesca di ferro per garage Verde 3x2 (Senza Barriera),鉄製ガレージドア 3x2（緑） (バリケードなし),초록색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Zielony (Bez Wzmocnienia),Portão de garagem de ferro Verde 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Yeşil Demir Garaj Kapısı 3x2 (Barikat Yok),绿色铁制车库门 3x2 (无障碍),綠色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorBlack_NoBarricade,blocks,block,,,Black Iron Garage Door 3x2 (No Barricade),,Schwarzes Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Negro 3x2 (Sin Barricada),Porte de garage en fer Noirhe 3x2 (Sans Barrière),Saracinesca di ferro per garage Nero 3x2 (Senza Barriera),鉄製ガレージドア 3x2（黒） (バリケードなし),검은색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Czarny (Bez Wzmocnienia),Portão de garagem de ferro Preto 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Siyah Demir Garaj Kapısı 3x2 (Barikat Yok),黑色铁制车库门 3x2 (无障碍),黑色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorBlue_NoBarricade,blocks,block,,,Blue Iron Garage Door 3x2 (No Barricade),,Blaues Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Azul 3x2 (Sin Barricada),Porte de garage en fer Bleuhe 3x2 (Sans Barrière),Saracinesca di ferro per garage Blu 3x2 (Senza Barriera),鉄製ガレージドア 3x2（青） (バリケードなし),파란색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Niebieski (Bez Wzmocnienia),Portão de garagem de ferro Azul 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Mavi Demir Garaj Kapısı 3x2 (Barikat Yok),蓝色铁制车库门 3x2 (无障碍),藍色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorBrown_NoBarricade,blocks,block,,,Brown Iron Garage Door 3x2 (No Barricade),,Braunes Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Marrón 3x2 (Sin Barricada),Porte de garage en fer Marronhe 3x2 (Sans Barrière),Saracinesca di ferro per garage Marrone 3x2 (Senza Barriera),鉄製ガレージドア 3x2（茶色） (バリケードなし),갈색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Brązowy (Bez Wzmocnienia),Portão de garagem de ferro Marrom 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Kahverengi Demir Garaj Kapısı 3x2 (Barikat Yok),棕色铁制车库门 3x2 (无障碍),棕色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorGreen_NoBarricade,blocks,block,,,Green Iron Garage Door 3x2 (No Barricade),,Grünes Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Verde 3x2 (Sin Barricada),Porte de garage en fer Verthe 3x2 (Sans Barrière),Saracinesca di ferro per garage Verde 3x2 (Senza Barriera),鉄製ガレージドア 3x2（緑） (バリケードなし),초록색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Zielony (Bez Wzmocnienia),Portão de garagem de ferro Verde 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Yeşil Demir Garaj Kapısı 3x2 (Barikat Yok),绿色铁制车库门 3x2 (无障碍),綠色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorGrey_NoBarricade,blocks,block,,,Gray Iron Garage Door 3x2 (No Barricade),,Graues Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Gris 3x2 (Sin Barricada),Porte de garage en fer Grishe 3x2 (Sans Barrière),Saracinesca di ferro per garage Grigio 3x2 (Senza Barriera),鉄製ガレージドア 3x2（灰色） (バリケードなし),회색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Szary (Bez Wzmocnienia),Portão de garagem de ferro Cinza 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Gri Demir Garaj Kapısı 3x2 (Barikat Yok),灰色铁制车库门 3x2 (无障碍),灰色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorOrange_NoBarricade,blocks,block,,,Orange Iron Garage Door 3x2 (No Barricade),,Orangees Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Naranja 3x2 (Sin Barricada),Porte de garage en fer Orangehe 3x2 (Sans Barrière),Saracinesca di ferro per garage Arancione 3x2 (Senza Barriera),鉄製ガレージドア 3x2（オレンジ） (バリケードなし),오렌지색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Pomarańczowy (Bez Wzmocnienia),Portão de garagem de ferro Laranja 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Turuncu Demir Garaj Kapısı 3x2 (Barikat Yok),橙色铁制车库门 3x2 (无障碍),橙色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorPink_NoBarricade,blocks,block,,,Pink Iron Garage Door 3x2 (No Barricade),,Rosaes Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Rosa 3x2 (Sin Barricada),Porte de garage en fer Rosehe 3x2 (Sans Barrière),Saracinesca di ferro per garage Rosa 3x2 (Senza Barriera),鉄製ガレージドア 3x2（ピンク） (バリケードなし),분홍색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Różowy (Bez Wzmocnienia),Portão de garagem de ferro Rosa 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Pembe Demir Garaj Kapısı 3x2 (Barikat Yok),粉色铁制车库门 3x2 (无障碍),粉紅色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorPurple_NoBarricade,blocks,block,,,Purple Iron Garage Door 3x2 (No Barricade),,Lilaes Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Púrpura 3x2 (Sin Barricada),Porte de garage en fer Violethe 3x2 (Sans Barrière),Saracinesca di ferro per garage Viola 3x2 (Senza Barriera),鉄製ガレージドア 3x2（紫） (バリケードなし),보라색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Fioletowy (Bez Wzmocnienia),Portão de garagem de ferro Roxo 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Mor Demir Garaj Kapısı 3x2 (Barikat Yok),紫色铁制车库门 3x2 (无障碍),紫色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorRed_NoBarricade,blocks,block,,,Red Iron Garage Door 3x2 (No Barricade),,Rotes Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Rojo 3x2 (Sin Barricada),Porte de garage en fer Rougehe 3x2 (Sans Barrière),Saracinesca di ferro per garage Rosso 3x2 (Senza Barriera),鉄製ガレージドア 3x2（赤） (バリケードなし),빨간색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Czerwony (Bez Wzmocnienia),Portão de garagem de ferro Vermelho 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Kırmızı Demir Garaj Kapısı 3x2 (Barikat Yok),红色铁制车库门 3x2 (无障碍),紅色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorWhite_NoBarricade,blocks,block,,,White Iron Garage Door 3x2 (No Barricade),,Weißes Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Blanco 3x2 (Sin Barricada),Porte de garage en fer Blanche 3x2 (Sans Barrière),Saracinesca di ferro per garage Bianco 3x2 (Senza Barriera),鉄製ガレージドア 3x2（白） (バリケードなし),흰색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Biały (Bez Wzmocnienia),Portão de garagem de ferro Branco 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Beyaz Demir Garaj Kapısı 3x2 (Barikat Yok),白色铁制车库门 3x2 (无障碍),白色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoorYellow_NoBarricade,blocks,block,,,Yellow Iron Garage Door 3x2 (No Barricade),,Gelbes Garagentor aus Eisen 3x2 (Ohne Barrikade),Puerta de garaje de hierro Amarillo 3x2 (Sin Barricada),Porte de garage en fer Jaunehe 3x2 (Sans Barrière),Saracinesca di ferro per garage Giallo 3x2 (Senza Barriera),鉄製ガレージドア 3x2（黄色） (バリケードなし),노란색 철제 차고 문 3x2 (방어막 없음),Żelazna brama garażowa 3 x 2 – Żółty (Bez Wzmocnienia),Portão de garagem de ferro Amarelo 3x2 (Sem Barreira),Белые железные ворота гаража 3x2 (Без Баррикады),Sarı Demir Garaj Kapısı 3x2 (Barikat Yok),黄色铁制车库门 3x2 (无障碍),黃色鐵車庫門 3x2 (無障礙)
JC_ironGarageDoor_NoBarricadeBlockVariantHelper,blocks,block,,,Iron Garage Door (No Barricade),,Weißes Garagentor aus Eisen (Ohne Barrikade),Puerta de garaje de hierro blanca (Sin Barricada),Porte de garage en fer blanche (Sans Barrière),Saracinesca di ferro per garage bianca (Senza Barriera),鉄製ガレージドア （白） (バリケードなし),흰색 철제 차고 문 (방어막 없음),Żelazna brama garażowa – biała (Bez Wzmocnienia),Portão de garagem de ferro branco (Sem Barreira),Белые железные ворота гаража (Без Баррикады),Beyaz Demir Garaj Kapısı (Barikat Yok),白色铁制车库门 (无障碍),白色鐵車庫門 (無障礙)
JC_ironGarageDoor_PoweredArmyGreen_NoBarricade,blocks,block,,,Green Iron Garage Door 3x2 (Powered) (No Barricade),,Grünes Garagentor aus Eisen 3x2 (elektrisch) (Ohne Barrikade),Puerta de garaje de hierro Verde 3x2 (con alimentación) (Sin Barricada),Porte de garage en fer Verthe 3x2 (alimentée) (Sans Barrière),Saracinesca di ferro per garage Verde 3x2 (elettrica) (Senza Barriera),鉄製ガレージドア 3x2（電動・緑） (バリケードなし),초록색 철제 차고 문 3x2(전원 연결됨) (방어막 없음),Żelazna brama garażowa 3 x 2 (zasilana) – Zielony (Bez Wzmocnienia),Portão de garagem de ferro Verde 3x2 (energizado) (Sem Barreira),Белые железные ворота гаража 3x2 (подключ.) (Без Баррикады),Yeşil Demir Garaj Kapısı 3x2 (Elektrikli) (Barikat Yok),绿色铁制车库门 3x2（通电） (无障碍),綠色鐵車庫門 3x2 （電力驅動） (無障礙)
JC_ironGarageDoor_PoweredBlack_NoBarricade,blocks,block,,,Black Iron Garage Door 3x2 (Powered) (No Barricade),,Schwarzes Garagentor aus Eisen 3x2 (elektrisch) (Ohne Barrikade),Puerta de garaje de hierro Negro 3x2 (con alimentación) (Sin Barricada),Porte de garage en fer Noirhe 3x2 (alimentée) (Sans Barrière),Saracinesca di ferro per garage Nero 3x2 (elettrica) (Senza Barriera),鉄製ガレージドア 3x2（電動・黒） (バリケードなし),검은색 철제 차고 문 3x2(전원 연결됨) (방어막 없음),Żelazna brama garażowa 3 x 2 (zasilana) – Czarny (Bez Wzmocnienia),Portão de garagem de ferro Preto 3x2 (energizado) (Sem Barreira),Белые железные ворота гаража 3x2 (подключ.) (Без Баррикады),Siyah Demir Garaj Kapısı 3x2 (Elektrikli) (Barikat Yok),黑色铁制车库门 3x2（通电） (无障碍),黑色鐵車庫門 3x2 （電力驅動） (無障礙)
JC_ironGarageDoor_PoweredBlue_NoBarricade,blocks,block,,,Blue Iron Garage Door 3x2 (Powered) (No Barricade),,Blaues Garagentor aus Eisen 3x2 (elektrisch) (Ohne Barrikade),Puerta de garaje de hierro Azul 3x2 (con alimentación) (Sin Barricada),Porte de garage en fer Bleuhe 3x2 (alimentée) (Sans Barrière),Saracinesca di ferro per garage Blu 3x2 (elettrica) (Senza Barriera),鉄製ガレージドア 3x2（電動・青） (バリケードなし),파란색 철제 차고 문 3x2(전원 연결됨) (방어막 없음),Żelazna brama garażowa 3 x 2 (zasilana) – Niebieski (Bez Wzmocnienia),Portão de garagem de ferro Azul 3x2 (energizado) (Sem Barreira),Белые железные ворота гаража 3x2 (подключ.) (Без Баррикады),Mavi Demir Garaj Kapısı 3x2 (Elektrikli) (Barikat Yok),蓝色铁制车库门 3x2（通电） (无障碍),藍色鐵車庫門 3x2 （電力驅動） (無障礙)
JC_ironGarageDoor_PoweredBrown_NoBarricade,blocks,block,,,Brown Iron Garage Door 3x2 (Powered) (No Barricade),,Braunes Garagentor aus Eisen 3x2 (elektrisch) (Ohne Barrikade),Puerta de garaje de hierro Marrón 3x2 (con alimentación) (Sin Barricada),Porte de garage en fer Marronhe 3x2 (alimentée) (Sans Barrière),Saracinesca di ferro per garage Marrone 3x2 (elettrica) (Senza Barriera),鉄製ガレージドア 3x2（電動・茶色） (バリケードなし),갈색 철제 차고 문 3x2(전원 연결됨) (방어막 없음),Żelazna brama garażowa 3 x 2 (zasilana) – Brązowy (Bez Wzmocnienia),Portão de garagem de ferro Marrom 3x2 (energizado) (Sem Barreira),Белые железные ворота гаража 3x2 (подключ.) (Без Баррикады),Kahverengi Demir Garaj Kapısı 3x2 (Elektrikli) (Barikat Yok),棕色铁制车库门 3x2（通电） (无障碍),棕色鐵車庫門 3x2 （電力驅動） (無障礙)
JC_ironGarageDoor_PoweredGreen_NoBarricade,blocks,block,,,Green Iron Garage Door 3x2 (Powered) (No Barricade),,Grünes Garagentor aus Eisen 3x2 (elektrisch) (Ohne Barrikade),Puerta de garaje de hierro Verde 3x2 (con alimentación) (Sin Barricada),Porte de garage en fer Verthe 3x2 (alimentée) (Sans Barrière),Saracinesca di ferro per garage Verde 3x2 (elettrica) (Senza Barriera),鉄製ガレージドア 3x2（電動・緑） (バリケードなし),초록색 철제 차고 문 3x2(전원 연결됨) (방어막 없음),Żelazna brama garażowa 3 x 2 (zasilana) – Zielony (Bez Wzmocnienia),Portão de garagem de ferro Verde 3x2 (energizado) (Sem Barreira),Белые железные ворота гаража 3x2 (подключ.) (Без Баррикады),Yeşil Demir Garaj Kapısı 3x2 (Elektrikli) (Barikat Yok),绿色铁制车库门 3x2（通电） (无障碍),綠色鐵車庫門 3x2 （電力驅動） (無障礙)
JC_ironGarageDoor_PoweredGrey_NoBarricade,blocks,block,,,Gray Iron Garage Door 3x2 (Powered) (No Barricade),,Graues Garagentor aus Eisen 3x2 (elektrisch) (Ohne Barrikade),Puerta de garaje de hierro Gris 3x2 (con alimentación) (Sin Barricada),Porte de garage en fer Grishe 3x2 (alimentée) (Sans Barrière),Saracinesca di ferro per garage Grigio 3x2 (elettrica) (Senza Barriera),鉄製ガレージドア 3x2（電動・灰色） (バリケードなし),회색 철제 차고 문 3x2(전원 연결됨) (방어막 없음),Żelazna brama garażowa 3 x 2 (zasilana) – Szary (Bez Wzmocnienia),Portão de garagem de ferro Cinza 3x2 (energizado) (Sem Barreira),Белые железные ворота гаража 3x2 (подключ.) (Без Баррикады),Gri Demir Garaj Kapısı 3x2 (Elektrikli) (Barikat Yok),灰色铁制车库门 3x2（通电） (无障碍),灰色鐵車庫門 3x2 （電力驅動） (無障礙)
JC_ironGarageDoor_PoweredOrange_NoBarricade,blocks,block,,,Orange Iron Garage Door 3x2 (Powered) (No Barricade),,Orangees Garagentor aus Eisen 3x2 (elektrisch) (Ohne Barrikade),Puerta de garaje de hierro Naranja 3x2 (con alimentación) (Sin Barricada),Porte de garage en fer Orangehe 3x2 (alimentée) (Sans Barrière),Saracinesca di ferro per garage Arancione 3x2 (elettrica) (Senza Barriera),鉄製ガレージドア 3x2（電動・オレンジ） (バリケードなし),오렌지색 철제 차고 문 3x2(전원 연결됨) (방어막 없음),Żelazna brama garażowa 3 x 2 (zasilana) – Pomarańczowy (Bez Wzmocnienia),Portão de garagem de ferro Laranja 3x2 (energizado) (Sem Barreira),Белые железные ворота гаража 3x2 (подключ.) (Без Баррикады),Turuncu Demir Garaj Kapısı 3x2 (Elektrikli) (Barikat Yok),橙色铁制车库门 3x2（通电） (无障碍),橙色鐵車庫門 3x2 （電力驅動） (無障礙)
JC_ironGarageDoor_PoweredPink_NoBarricade,blocks,block,,,Pink Iron Garage Door 3x2 (Powered) (No Barricade),,Rosaes Garagentor aus Eisen 3x2 (elektrisch) (Ohne Barrikade),Puerta de garaje de hierro Rosa 3x2 (con alimentación) (Sin Barricada),Porte de garage en fer Rosehe 3x2 (alimentée) (Sans Barrière),Saracinesca di ferro per garage Rosa 3x2 (elettrica) (Senza Barriera),鉄製ガレージドア 3x2（電動・ピンク） (バリケードなし),분홍색 철제 차고 문 3x2(전원 연결됨) (방어막 없음),Żelazna brama garażowa 3 x 2 (zasilana) – Różowy (Bez Wzmocnienia),Portão de garagem de ferro Rosa 3x2 (energizado) (Sem Barreira),Белые железные ворота гаража 3x2 (подключ.) (Без Баррикады),Pembe Demir Garaj Kapısı 3x2 (Elektrikli) (Barikat Yok),粉色铁制车库门 3x2（通电） (无障碍),粉紅色鐵車庫門 3x2 （電力驅動） (無障礙)
